         4502012 function calls (4491405 primitive calls) in 32.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103   24.098    0.234   24.098    0.234 {time.sleep}
   267940    0.455    0.000    0.455    0.000 {numpy.core.multiarray.array}
    28500    0.454    0.000    0.665    0.000 function_base.py:4110(delete)
     7000    0.317    0.000    1.984    0.000 kalman_filter.py:49(ekf_update)
     7500    0.260    0.000    3.144    0.000 kalman_filter.py:160(create_detection_list)
    63500    0.256    0.000    0.304    0.000 {method 'dot' of 'numpy.ndarray' objects}
    65001    0.221    0.000    0.680    0.000 defmatrix.py:246(__new__)
   264001    0.210    0.000    0.254    0.000 defmatrix.py:292(__array_finalize__)
    15015    0.204    0.000    0.527    0.000 transformations.py:1174(quaternion_matrix)
687167/687165    0.199    0.000    0.315    0.000 {isinstance}
       11    0.187    0.017    0.187    0.017 {cPickle.loads}
    41269    0.187    0.000    0.187    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7500    0.172    0.000    0.557    0.000 decomp.py:202(eigh)
     7500    0.171    0.000    1.086    0.000 _multivariate.py:138(__init__)
    45015    0.171    0.000    0.171    0.000 {numpy.core.multiarray.dot}
    68954    0.160    0.000    0.235    0.000 {built-in method __new__ of type object at 0x906bc0}
     7500    0.154    0.000    2.053    0.000 listener.py:286(transformPose)
    15015    0.132    0.000    0.169    0.000 numeric.py:1015(outer)
     7000    0.128    0.000    0.269    0.000 linalg.py:458(inv)
    22001    0.111    0.000    0.256    0.000 numeric.py:2279(identity)
    22001    0.111    0.000    0.145    0.000 twodim_base.py:192(eye)
     7500    0.107    0.000    1.561    0.000 particle_filter.py:154(particle_update)
    58000    0.104    0.000    0.135    0.000 defmatrix.py:314(__getitem__)
     7500    0.101    0.000    2.095    0.000 kalman_filter.py:131(start_kalman_filter)
     7500    0.097    0.000    0.161    0.000 _multivariate.py:424(_logpdf)
     7000    0.091    0.000    0.342    0.000 kalman_filter.py:92(measurement_model)
    46000    0.087    0.000    0.142    0.000 _Pose.py:37(__init__)
     7500    0.081    0.000    0.234    0.000 {method 'lookup_transform_core' of '_tf2.BufferCore' objects}
       16    0.080    0.005    0.463    0.029 particle_filter.py:99(particle_publisher)
     7500    0.079    0.000    0.194    0.000 transformations.py:1196(quaternion_from_matrix)
   139051    0.078    0.000    0.211    0.000 numeric.py:414(asarray)
     8000    0.070    0.000    0.245    0.000 kalman_filter.py:194(markers_publisher)
     7500    0.069    0.000    0.098    0.000 _multivariate.py:78(_pinv_1d)
    37731    0.067    0.000    0.234    0.000 rostime.py:62(__init__)
    22515    0.066    0.000    0.082    0.000 message.py:279(__init__)
    38010    0.066    0.000    0.116    0.000 abc.py:128(__instancecheck__)
     7500    0.065    0.000    0.065    0.000 {method 'trace' of 'numpy.ndarray' objects}
     7500    0.061    0.000    0.158    0.000 blas.py:223(_get_funcs)
     7500    0.060    0.000    0.191    0.000 _util.py:141(_asarray_validated)
     7500    0.058    0.000    1.445    0.000 _multivariate.py:477(pdf)
    15000    0.055    0.000    0.227    0.000 transformations.py:195(translation_matrix)
       16    0.055    0.003    7.456    0.466 particle_filter.py:42(particle_filter_iteration)
    15000    0.053    0.000    0.260    0.000 _PoseStamped.py:62(__init__)
     7500    0.052    0.000    0.065    0.000 {method 'can_transform_core' of '_tf2.BufferCore' objects}
     7500    0.050    0.000    0.156    0.000 _multivariate.py:43(_eigvalsh_to_eps)
     7500    0.048    0.000    5.307    0.001 kalman_filter.py:254(start_perception)
    44039    0.047    0.000    0.047    0.000 {numpy.core.multiarray.empty}
        1    0.047    0.047    0.113    0.113 colorbar.py:20(<module>)
    57500    0.046    0.000    0.093    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    30144    0.045    0.000    0.207    0.000 rostime.py:199(__init__)
     9382    0.044    0.000    0.044    0.000 {range}
     7500    0.043    0.000    0.116    0.000 function_base.py:959(asarray_chkfinite)
     8015    0.041    0.000    0.059    0.000 transformations.py:1100(quaternion_from_euler)
    45658    0.039    0.000    0.039    0.000 _weakrefset.py:70(__contains__)
     7500    0.038    0.000    0.073    0.000 blas.py:177(find_best_blas_type)
     8000    0.037    0.000    5.358    0.001 particle_filter.py:141(particle_prediction)
    46000    0.036    0.000    0.075    0.000 _Point.py:21(__init__)
    22547    0.036    0.000    0.209    0.000 _Header.py:33(__init__)
     7500    0.035    0.000    0.088    0.000 _multivariate.py:346(_process_parameters)
    53515    0.035    0.000    0.060    0.000 _Quaternion.py:23(__init__)
     7500    0.035    0.000    0.507    0.000 listener.py:103(lookupTransform)
    22001    0.034    0.000    0.034    0.000 {numpy.core.multiarray.zeros}
       30    0.033    0.001    0.054    0.002 _PoseArray.py:95(serialize)
    14500    0.033    0.000    0.209    0.000 kalman_filter.py:29(get_position)
     1035    0.033    0.000    0.033    0.000 {built-in method _parse}
     7500    0.033    0.000    0.206    0.000 buffer.py:106(can_transform)
    70460    0.032    0.000    0.032    0.000 {getattr}
    28500    0.029    0.000    0.065    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
    15000    0.027    0.000    0.105    0.000 fromnumeric.py:1743(sum)
     7515    0.025    0.000    0.105    0.000 _TransformStamped.py:75(__init__)
    43500    0.025    0.000    0.097    0.000 defmatrix.py:1070(getT)
     7000    0.023    0.000    0.041    0.000 linalg.py:139(_commonType)
     7500    0.023    0.000    1.066    0.000 listener.py:172(asMatrix)
    15532    0.022    0.000    0.022    0.000 rostime.py:115(to_sec)
    23612    0.022    0.000    0.022    0.000 {abs}
      260    0.022    0.000    0.058    0.000 doccer.py:12(docformat)
